2026-04-04 19:44:55,875 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2026-04-04 19:44:55,875 INFO  ExportHelperExtension.cs: 849 - L1: 0
2026-04-04 19:44:55,875 INFO  ExportHelperExtension.cs: 857 - L2: 0
2026-04-04 19:44:57,051 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent wrist1 to child hand_link failed
2026-04-04 19:44:57,062 INFO  ExportHelperExtension.cs: 347 - Creating joint finger_link
2026-04-04 19:44:57,063 INFO  ExportHelperExtension.cs: 1397 - Fixing components for hand_link
2026-04-04 19:44:57,063 INFO  ExportHelperExtension.cs: 1402 - Fixing 28
2026-04-04 19:44:57,063 INFO  ExportHelperExtension.cs: 1409 - Component 28 is already fixed
2026-04-04 19:44:57,064 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2026-04-04 19:44:57,071 INFO  ExportHelperExtension.cs: 1409 - Component 24 is already fixed
2026-04-04 19:44:57,071 INFO  ExportHelperExtension.cs: 1402 - Fixing 33
2026-04-04 19:44:57,072 INFO  ExportHelperExtension.cs: 1409 - Component 33 is already fixed
2026-04-04 19:44:57,072 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2026-04-04 19:44:57,072 INFO  ExportHelperExtension.cs: 1409 - Component 25 is already fixed
2026-04-04 19:44:57,072 INFO  ExportHelperExtension.cs: 1402 - Fixing 29
2026-04-04 19:44:57,073 INFO  ExportHelperExtension.cs: 1409 - Component 29 is already fixed
2026-04-04 19:44:57,243 INFO  ExportHelperExtension.cs: 832 - R1: 0, 0
2026-04-04 19:44:57,244 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2026-04-04 19:44:57,245 INFO  ExportHelperExtension.cs: 849 - L1: 0
2026-04-04 19:44:57,245 INFO  ExportHelperExtension.cs: 857 - L2: 0
2026-04-04 19:44:58,479 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent hand_link to child finger_link failed
2026-04-04 19:44:59,596 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from arm
2026-04-04 19:44:59,598 INFO  ExportHelperExtension.cs: 1136 - Found 31 in arm
2026-04-04 19:44:59,598 INFO  ExportHelperExtension.cs: 1145 - Found 6 features of type [CoordSys] in arm
2026-04-04 19:44:59,599 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-04-04 19:44:59,599 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2026-04-04 19:44:59,599 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from arm.STEP-1
2026-04-04 19:44:59,600 INFO  ExportHelperExtension.cs: 1136 - Found 34 in arm.STEP-1
2026-04-04 19:44:59,600 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in arm.STEP-1
2026-04-04 19:44:59,600 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from arm
2026-04-04 19:44:59,601 INFO  ExportHelperExtension.cs: 1136 - Found 31 in arm
2026-04-04 19:44:59,601 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in arm
2026-04-04 19:44:59,601 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-04-04 19:44:59,601 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2026-04-04 19:44:59,602 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from arm.STEP-1
2026-04-04 19:44:59,602 INFO  ExportHelperExtension.cs: 1136 - Found 34 in arm.STEP-1
2026-04-04 19:44:59,602 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in arm.STEP-1
2026-04-04 19:44:59,690 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-04-04 19:47:23,468 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
